,title,author,subject,desc,certificate_price,enrollment,length_by_week,difficulty
168,Basics of Power BI  ,Rolls-Royce,Data Analysis & Statistics,"The purpose the tool is being used for will vary from learner to learner, but this learning covers key areas of navigation, design, sharing and presenting. You can use this learning resource as required for the areas that you need support on.",49.00,10542,2,0
169,Modern Masterpieces of World Literature  ,HarvardX,Literature,"Based on the second half of the Masterpieces of World Literature edX MOOC, this short literature course examines how writers reach beyond national and linguistic boundaries as worldly readers and travelers, and how their modern fictions rise to the status of world literature. ",139.00,49314,8,0
170,From Poverty to Prosperity: Understanding Economic Development  ,OxfordX,Social Sciences,"How can poor societies become prosperous and overcome obstacles to do so? Professor Sir Paul Collier is one of the world's leading scholars on this question, and in this economics course you will have the opportunity to learn from him directly.",169.00,67825,6,1
171,General Academic English生活英语进阶  ,TsinghuaX,Language,"It is an essential ability for academic researchers to master the academic skills and join in academic communications. This course encourages you to read, write and share your ideas while studying English for academic purposes.",49.00,19098,8,0
172,Introduction to Aerospace Structures and Materials  ,DelftX,Engineering,"How do you design an aircraft or spacecraft? And in doing so, how do you keep the risk of failure minimal while bearing in mind that they will eventually fail?",50.00,38232,8,0
173,Gestion de projets de développement  ,IDBx,Business & Management,"Un des défis auxquels sont confrontés les gouvernements, les institutions publiques, les organismes non gouvernementaux, les agences de développement et d'autres acteurs chargés de promouvoir de développement économique et social en Amérique Latine et les Caraïbes, consiste à transformer les propositions en réalités concrètes pour améliorer le bien-être de la société et offrir des résultats dans les délais et avec les ressources disponibles.",25.00,42860,10,1
174,Nutrition and Health: Macronutrients and Overnutrition  ,WageningenX,Biology & Life Sciences,"There is an overload of information about nutrition and health, but what is the truth and what can you do to improve the health of your patients? Learn more about nutrition and how our diet profoundly impacts our current and future health. This course addresses the relationship between nutrition and human health, with a focus on health problems related to overnutrition. ",99.00,210044,9,0
175,Finance for Everyone: Smart Tools for Decision-Making  ,MichiganX,Business & Management,Want to learn how to think clearly about important financial decisions and improve your financial literacy? Finance for Everyone will showcase the beauty and power of finance. This introductory finance course will be a gateway into the world of finance and will examine multiple applications to apply to your everyday life. Join us to better understand how to apply frameworks and tools to make smart financial choices.,49.00,45802,6,0
176,El valor de la creatividad y la innovación: La Economía Naranja  ,IDBx,Art & Culture,"¿Qué tienen en común una actriz, un arquitecto, una chef, un creador de videojuegos, una diseñadora aeronáutica, un músico un modista y una artesana?",25.00,24637,8,0
177,Fundamentos de Ciberseguridad: un enfoque práctico  ,IDB_UC3Mx,Computer Science,¿Has oído hablar de los ataques que reciben las grandes compañías o los bancos a través de sus sistemas informáticos? ¿Sabes detectar un archivo infectado por un virus? O ¿conoces medidas de seguridad para proteger un equipo o una red de ciber-ataques?,29.00,27016,6,1
178,Calculus Applied!  ,HarvardX,Math,"In this course, we go beyond the calculus textbook, working with practitioners in social, life and physical sciences to understand how calculus and mathematical models play a role in their work.",139.00,57458,10,1
179,High-Dimensional Data Analysis  ,HarvardX,Data Analysis & Statistics,"If you’re interested in data analysis and interpretation, then this is the data science course for you. We start by learning the mathematical definition of distance and use this to motivate the use of the singular value decomposition (SVD) for dimension reduction of high-dimensional data sets, and multi-dimensional scaling and its connection to principle component analysis. We will learn about the batch effect, the most challenging data analytical problem in genomics today, and describe how the techniques can be used to detect and adjust for batch effects. Specifically, we will describe the principal component analysis and factor analysis and demonstrate how these concepts are applied to data visualization and data analysis of high-throughput experimental data.",149.00,79457,4,2
180,Big Data sin misterios  ,IDBx,Data Analysis & Statistics,"Hoy, parece que se esta hablando de ""Big Data"" por todas partes. Pero ¿qué tan importante o relevante es esto y que oportunidades ofrece para las organizaciones y nuestros paises? ¡Inscríbete al MOOC ""Big Data sin misterios"" y descubre las respuestas a estas preguntas!",25.00,66545,10,1
181,Electric Cars: Introduction  ,DelftX,Engineering,"Electric vehicles are the future of transportation. Electric mobility has become an essential part of the energy transition, and will imply significant changes for vehicle manufacturers, governments, companies and individuals. ",50.00,57150,4,1
182,Introduction to Linear Models and Matrix Algebra  ,HarvardX,Math,"Matrix Algebra underlies many of the current tools for experimental design and the analysis of high-dimensional data. In this introductory online course in data analysis, we will use matrix algebra to represent the linear models that commonly used to model differences between experimental units. We perform statistical inference on these differences. Throughout the course we will use the R programming language to perform matrix operations.",149.00,93017,4,1
183,English for Doing Business in Asia – Speaking  ,HKUSTx,Humanities,"The use of English for doing business in multinational settings is a fact of life for many business people. As Asian economies expand and become more involved in the global economy, a lingua franca – a language used to communicate among groups of people who do not share a mother tongue – is needed to exchange information. This course has two goals. The first is to introduce non-native speakers of English to methods for developing spoken English language and communication skills for doing business in Asia. The second is to examine the impact of interculturality and globalization on English communications. By exploring and participating in a business simulation set in Asia, you will develop the principal skills for effective communication in English when conducting business in China and other Asian countries.",60.00,69606,7,0
184,Philosophy and Critical Thinking  ,UQx,Humanities,"What can we learn through philosophical inquiry that will help us to think with clarity, rigour and humour about things that matter?",99.00,98299,6,0
185,Business Foundations  ,UBCx,Business & Management,"Do you speak “business""? You will. This course is designed to give you the terminology, concepts and frameworks necessary to understand businesses, to unpack their constituent parts, and to build your own tool-kit for strategy and decision-making.",150.00,56139,6,0
186,Introduction to Networking  ,NYUx,Computer Science,This is a self-paced course that provides an Introduction to Networking,150.00,17647,7,0
187,Gestión de personas: Recursos Humanos  ,UNCordobaX,Business & Management,"La disposición al servicio se puede medir y predice la efectividad del servicio. Las personas más felices, más positivas sobre ellas mismas y sobre su entorno, son más felices en el trabajo y los empleados más satisfechos producen también clientes más satisfechos.” Benjamín Schneider y David E. Bawer… Pero, ¿cómo lograr todo esto? Ese es nuestro desafío en este MOOC. Trabajaremos el factor clave para desarrollar experiencias memorables: el factor humano. ",119.00,20520,5,0
188,Framing Your Communication to Inspire and Convince  ,DelftX,Business & Management,"In order to be effective, leaders need a high tolerance of complexity. Beyond this, they need to inform their people and the outside world of their strategies, policies and decisions. Effective leaders are often inspiring communicators - their own high tolerance of complexity helps them reduce this complexity to a concise and powerful message. This course introduces the sensemaking mindset. ",125.00,50088,5,1
189,Sustainability in Architecture: An Interdisciplinary Introduction  ,UPValenciaX,Architecture,"This course offers an interdisciplinary approach to sustainabilityin Architecture. Learners will be introducedto the basic elements of sustainability assessments (first model layer), as well as trends informing the space today. ",50.00,32471,4,1
190,"English for Journalists, Part 1  ",BerkeleyX,Communication,"English for Journalists offers instruction in English language development for students who are studying journalism, or working journalists who want to improve their English proficiency. Students with a basic understanding and interest in journalism are encouraged to sign up.",139.00,52036,5,1
191,Site Planning Online  ,MITx,Design,Cities are built site by site. ,99.00,14208,10,1
192,Introduction to Cloud Infrastructure Technologies  ,LinuxFoundationX,Computer Science,"New to the cloud and not sure where to begin? This introductory course, taught by cloud experts from The Linux Foundation, will help you grasp the basics of cloud computing and comprehend the terminology, tools and technologies associated with today’s top cloud platforms.",199.00,88205,14,0
193,AP® English Literature & Composition – Part 1: Stories  ,BerkeleyX,Humanities,"This course prepares you to read more deeply and write more clearly about works of literature. Through an engaging collection of videos, authentic readings, and support material from a variety of sources, you will learn to appreciate literature from different genres. This course will focus on reading, interpreting and writing about fiction and gothic literature.",49.00,16880,7,0
194,Statistical Thinking for Data Science and Analytics  ,ColumbiaX,Computer Science,This statistics and data analysis course will pave the statistical foundation for our discussion on data science.,99.00,199568,5,0
195,"Data Science for Construction, Architecture and Engineering  ",NUS,Data Analysis & Statistics,"The building industry is exploding with data sources that impact the energy performance of the built environment and health and well-being of occupants. Spreadsheets just don’t cut it anymore as the sole analytics tool for professionals in this field. Participating in mainstream data science courses might provide skills such as programming and statistics, however the applied context to buildings is missing, which is the most important part for beginners. ",199.00,12548,7,0
196,Ancient Masterpieces of World Literature  ,HarvardX,Literature,"This short literature course, based on the first half of the Masterpieces of World Literature edX MOOC, examines how civilizations and cultures of the ancient world defined themselves through literature and how that literature has continued to contribute to our understanding of those civilizations and cultures today. ",139.00,49832,6,0
197,Finance Essentials  ,ImperialBusinessX,Business & Management,Want to study for an MBA but are unsure of basic financial concepts? This business and management course prepares you for studying finance in an MBA program and in business generally.,79.00,64856,6,0
198,Introducción a la gestión de proyectos  ,UPValenciaX,Business & Management,"El objetivo del curso es introducir algunos conceptos básicos de la Gestión de Proyectos / Project Management (PM), según las metodologías del Project Management Institute (PMI). El PMI es la Principal Organización Mundial en el campo de la Dirección de Proyectos (www.pmi.org). Sus guías están basadas en las ""Buenas Prácticas"" de profesionales de todo el mundo, y sus certificaciones, por ejemplo el Project Manager Professional (PMP) son muy demandadas por empresas de todos los sectores.",50.00,99696,5,0
199,Introducción a la Regulación Emocional basada en Mindfulness  ,UAMx,Health & Safety,Receive an instructor-signed certificate with the institution's logo to verify your achievement and increase your job prospects,49.00,21726,4,0
200,"Asociaciones Público-Privadas: Retos, lecciones aprendidas y soluciones innovadoras en América Latina y el Caribe  ",IDBx,Economics & Finance,"Las Asociaciones Público-Privadas (APP) se han convertido en un instrumento esencial para el crecimiento productivo, económico y social de los países de Latinoamérica y el Caribe. Sin embargo, se observa un déficit en las capacidades técnicas de quienes tienen la responsabilidad de desarrollar e implementar las APP, particularmente en el sector público.",25.00,51184,10,0
201,Introduction to the Internet of Things (IoT)  ,CurtinX,Computer Science,"The Internet of Things (IoT) is expanding at a rapid rate, and it is becoming increasingly important for professionals to understand what it is, how it works, and how to harness its power to improve business. This introductory course will enable learners to leverage their business and/or technical knowledge across IoT-related functions in the workplace.",149.00,90367,6,0
202,Science & Cooking: From Haute Cuisine to Soft Matter Science (physics)  ,HarvardX,Physics,"In this course, which investigates physical transformations in food, we will be visited by world-famous chefs who use a number of different styles and techniques in their cooking. Each chef will demonstrate how he or she prepares delicious and interesting creations, and we will explore how fundamental scientific principles make them possible.",169.00,64293,16,0
203,Solar Energy  ,DelftX,Engineering,"In the third edition of Solar Energy, you will learn to design a complete photovoltaic system. This course introduces the technology that converts solar energy into electricity, heat and solar fuels with a main focus on electricity generation. Photovoltaic (PV) devices are presented as advanced semiconductor devices that deliver electricity directly from sunlight. The emphasis is on understanding the working principle of a solar cell, fabrication of solar cells, PV module construction and the design of a PV system. You will gain a greater understanding of the principles of the photovoltaic conversion— the conversion of light into electricity. This course explores the advantages, limitations and challenges of different solar cell technologies, such as crystalline silicon solar cell technology, thin film solar cell technologies and the latest novel solar cell concepts as studied on lab-scale. We will discuss the specifications of solar modules and demonstrate how to design a complete solar system for any particular application.",50.00,126020,8,0
204,"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods  ",ImperialX,Math,Receive an instructor-signed certificate with the institution's logo to verify your achievement and increase your job prospects,49.00,23936,7,1
205,Machine Learning for Data Science and Analytics  ,ColumbiaX,Computer Science,"Machine Learning is a growing field that is used when searching the web, placing ads, credit scoring, stock trading and for many other applications.",99.00,141078,5,0
206,Introducción a la ciencia de datos y sus aplicaciones  ,IBM,Data Analysis & Statistics,"Los antiguos egipcios aplicaron datos del censo para aumentar la eficiencia en la recaudación de impuestos y predijeron con precisión la inundación del río Nilo todos los años. Desde entonces, las personas que trabajan en ciencia de datos han creado un campo único y distinto para el trabajo que realizan. Este campo es la ciencia de datos y en este curso, conocerás a algunos profesionales de la ciencia de datos que manejan grandes cantidad de datos (Big Data) y obtendrás una visión general de lo que es hoy la ciencia de datos.",39.00,7930,6,0
207,Java Programming Fundamentals  ,GalileoX,Engineering,Java is one of the most in-demand programming languages today. This course is designed to provide students the basic skills and knowledge on Java. ,49.00,12972,5,1
208,Basic Spanish 3: Getting there  ,UPValenciaX,Language,¡Bienvenidos y bienvenidas! (Welcome!),50.00,18509,4,0
209,International Law  ,LouvainX,Law,"International law can be considered as the law of the international community, the law that governs relations between States. But it also relates to what international organizations do and, increasingly, it concerns individuals, corporations, NGO's and other non-state actors.",150.00,93187,12,2
210,Introduction to Jenkins  ,LinuxFoundationX,Computer Science,"Are you or your team starting to use Jenkins as a CI/CD tool? Are you looking to automate your software delivery process? Do you need guidelines on how to set up your CI/CD workflow using Jenkins automation server? If so, this is the course for you.",149.00,7805,10,0
211,Introducción al desarrollo de aplicaciones web  ,UAMx,Computer Science,Receive an instructor-signed certificate with the institution's logo to verify your achievement and increase your job prospects,49.00,28888,5,0
212,Foundations for Excellence in Teaching Online  ,ASUx,Education & Teacher Training,"Whether you’re new to teaching online or are looking for new teaching strategies to implement in your online class, our goal is that you find value in this carefully constructed experience we’ve designed for you. This learning experience is adapted from ASU’s flagship workshop for ASU Online faculty, called ""Master Class for Teaching Online"".",99.00,8553,2,0
213,C Programming: Language Foundations  ,Dartmouth_IMTx,Computer Science,"Inthis course, part of the C Programming with Linux Professional Certificate program,you will learn to use logical statements and arrays in C. Logical statements are used for decision-making with follow-up instructions, based on conditions you define. Arrays are used to store, keep track of, and organize larger amounts of data. You will furthermore implement some fundamental algorithms to search and sort data.",49.00,47519,7,0
214,Introduction to Algebra  ,SchoolYourself,Math,"We live in a world of numbers. You see them every day: on clocks, in the stock market, in sports, and all over the news. Algebra is all about figuring out the numbers you don't see. You might know how fast you can throw a ball, but can you use this number to determine how far you can throw it? You might keep track of stock prices, but how can you figure out how much money you've made (or lost) in the market? And you may already know how to tell time, but can you calculate at what times a clock's hour and minute hands are exactly aligned? With algebra, you can answer all of these questions, using the numbers you already know to solve for the unknown. Algebra is an essential tool for all of high school and college-level math, science, and engineering. So if you're starting out in one of these fields and you haven't yet mastered algebra, then this is the course for you! ",139.00,132504,4,0
215,Leading With Effective Communication (Inclusive Leadership Training)  ,CatalystX,Communication,"What does it take to inspire others, promote a novel idea, or even have a difficult conversation? How can you position yourself as a leader through inclusive communication? How do you know that the message you are intending to send is what is being received? Join Catalyst experts to explore this topic and the important role communication plays in inclusive leadership.",50.00,109075,4,0
216,"Inglés empresarial: ventas, gestión y liderazgo  ",AnahuacX,Business & Management,Conviértete en un ciudadano global y obtén las habilidades necesarias para lograr sobresalir en tu lugar actual de trabajo o poder alcanzar el siguiente paso al éxito laboral.,49.00,11930,4,0
217,Python Data Structures  ,MichiganX,Computer Science,"This course will introduce the core data structures of the Python programming language. We will move past the basics of procedural programming and explore how we can use the Python built-in data structures such as lists, dictionaries, and tuples to perform increasingly complex data analysis. This course will cover Chapters 6-10 of the textbook ""Python for Everybody"". This course covers Python 3.",49.00,37329,7,0
218,Nutrition and Health: Micronutrients and Malnutrition  ,WageningenX,Biology & Life Sciences,"There is an overload of information about nutrition and health, but what is the truth and what can you do to improve the health of your patients? Learn more about nutrition and how our diet profoundly impacts our current and future health. This course addresses the relationship between nutrition and human health, with a focus on health problems related to malnutrition. ",99.00,79245,7,1
219,Accounting Essentials  ,ImperialBusinessX,Business & Management,"Want to study for an MBA but unsure of your basic accounting skills? Paving the way for MBA study, this course will teach you the foundational accounting skills needed to achieve success on an MBA program and in business generally.",79.00,59492,6,0
220,Linear Algebra - Foundations to Frontiers  ,UTAustinX,Computer Science,"Linear Algebra: Foundations to Frontiers (LAFF) is packed full of challenging, rewarding material that is essential for mathematicians, engineers, scientists, and anyone working with large datasets. Students appreciate our unique approach to teaching linear algebra because:",49.00,89397,15,1
221,Digital Branding and Engagement  ,CurtinX,Communication,"Want to learn how to get people to engage with your brand, but not sure where to begin?",99.00,123863,4,1
222,The Science and Business of Biotechnology  ,MITx,Business & Management,"This course focuses on early-stage biotechnology companies, with particular emphasis on understanding the underlying science, technology, and disease targets—together with the application of novel business structures and financing methods—to facilitate drug discovery, clinical development, and greater patient access to new therapies.",49.00,17989,16,1
223,Critical Thinking & Problem Solving  ,RITx,Communication,"In today's business environment, organizations have identified critical thinking and problem-solving as skills that are integral to an employee's--and their organization's--success.",199.00,7602,3,0
224,Business Strategy from Wharton: Competitive Advantage  ,Wharton,Business & Management,Maintaining a competitive advantage takes more than great timing or a single solution. Sustainable advantage requires a well-designed and well-executed strategy. This course was created to give you the tools and frameworks you need to develop and execute a successful strategy.,199.00,28033,6,1
225,Precalculus  ,ASUx,Math,"This course is part of Global Freshman Academy (GFA), which means you can earn transferable ASU credit toward your college degree.",49.00,56549,15,1
226,Anatomy: Musculoskeletal and Integumentary Systems  ,MichiganX,Biology & Life Sciences,"In this anatomy course, part of the Anatomy XSeries, you will learn how the components of the integumentary system help protect our body (epidermis, dermis, hair, nails, and glands), and how the musculoskeletal system (bones, joints, and skeletal muscles) protects and allows the body to move.",49.00,52962,4,0
227,Introducción al Office 365  ,UPValenciaX,Computer Science,"Office 365 constituye una suite ofimática de extraordinaria potencia, compuesta por múltiples herramientas que funcionan de manera coordinada, y que permiten al usuario realizar tareas de todo tipo de una manera sencilla.",75.00,17510,7,0
228,Mi propia huerta orgánica  ,UNCordobaX,Biology & Life Sciences,"En el curso Mi propia huerta aprenderemos a aprovechar mejor el agua, evitar inundaciones, amortiguar el impacto de las altas temperaturas y construir un refugio natural para la flora y fauna autóctonas.",29.00,11920,4,0
229,'Talk to me': Improving mental health and suicide prevention in young adults  ,CurtinX,Health & Safety,"Poor mental health affects one in four people, and young adults are particularly susceptible. Do you feel confident approaching the topic of mental health with people you care about, or are concerned about?",139.00,11950,6,0
230,Gobierno Digital  ,IDBx,Social Sciences,"La revolución digital ya está presente en muchos aspectos de nuestra vida, ¿y en nuestros gobiernos? ",25.00,19249,8,0
231,Psychology of Personal Growth  ,HKUSTx,Social Sciences,"Want to learn about how you become who you are, but not sure where to kick off that journey? This is a fantastic course for you. ",50.00,56852,6,0
232,Nutrition and Health: Human Microbiome  ,WageningenX,Health & Safety,"Your body is not only made up of human cells, but also by trillions of bacteria, fungi and viruses. Together they make up the human microbiome and have a tremendous impact on your health. For example, what you eat and drink impacts the gut microbes of the human gut microbiome. ",49.00,44932,6,0
233,Customer Relationship Management  ,IIMBx,Business & Management,"Customer Relationship Management, also known as CRM, helps businesses successfully implement strategies, practices and technolgies aimed at winning and retaining customers profitably. The objective of this business and management course is to equip you with a sound foundation of CRM concepts and best practices so you can implement CRM practices successfully for long-term profitability.",149.00,53803,6,1
234,Introduction to Java Programming – Part 1  ,HKUSTx,Computer Science,Do you want to become a better problem solver?,99.00,271138,5,0
235,Data Science Tools  ,IBM,Data Analysis & Statistics,"In this course, you'll learn about Data Science tools like Jupyter Notebooks, RStudio IDE, and Watson Studio. You will learn what each tool is used for, what programming languages they can execute, their features and limitations and how data scientists use these tools today.",39.00,16493,7,0
236,Fundamentos de anatomía y técnica quirúrgica básica  ,URosarioX,Medicine,"La anatomía es la ciencia que estudia la forma, ubicación y relaciones de las estructuras del cuerpo. Este curso en línea tiene como objetivo enseñar las principales características anatómicas del cuerpo humano desde la perspectiva médica. ",49.00,13197,4,0
237,The Science of Everyday Thinking  ,UQx,Business & Management,"We will explore the psychology of our everyday thinking: why people believe weird things, how we form and change our opinions, why our expectations skew our judgments, and how we can make better decisions. We'll discuss and debate topics such as placebos, the paranormal, medicine, miracles, and more.",99.00,319251,12,0
238,Business Communications  ,UBCx,Business & Management,"This course, part of the Business Fundamentals Professional Certificate program, will sharpen your writing, presentation, and interpersonal communication skills to help you succeed in the business world. You will learn a range of successful practices and guidelines that have been derived from both research and experience.",150.00,61450,6,0
239,Human Rights: The Rights of Refugees  ,AmnestyInternationalX,Humanities,"Across the world, barriers are growing. Every day people fleeing war and persecution find the door slammed in their face.",49.00,85059,3,0
240,AP® Microeconomics  ,MITx,Economics & Finance,Want to learn how individuals and businesses make the decisions that drive our economy - and use those skills to ace the Microeconomics AP® exam? This is the course for you!,49.00,54785,12,0
241,COVID-19 Training for Healthcare Workers  ,StanfordOnline,Medicine,"Learning modules are broken into short (<10 minute) videos presented in straightforward language. This allows providers to learn at their own pace and time. Topics include symptoms and signs in patients with COVID-19, early stabilization of patients, prevention of the need for intubation, and ventilator management of patients. The best evidence and guidelines are summarized while accompanying handouts provide written learning points and links to online references. Additionally, simple infographics are available for providers to utilize within their care facilities to educate and promote optimal care across their entire institution.",10.00,7067,2,0
242,Marketing Analytics: Competitive Analysis and Market Segmentation  ,BerkeleyX,Computer Science,"In this marketing course, you will learn about competitive analysis and market segmentation, including how to analyze and structure industries and markets to transform your marketing efforts from vague, generic attempts to laser-guided precision.",249.00,71521,4,1
243,Mechanics: Kinematics and Dynamics  ,MITx,Physics,Mechanics is the study of the physics of motion and how it relates to applied forces. It lays the foundation of understanding the world around us through the how and why of motion.,49.00,36706,12,1
244,Becoming a Successful Leader (Inclusive Leadership Training)  ,CatalystX,Communication,"What separates a successful leader from a mediocre one? In this course, you will learn what successful 21st-century leaders look like and how you can adopt their inclusive leadership style. Using research and best practices, as well as stories from great leaders and everyday people, you will practice empowerment, accountability, courage, and humility—key leadership skills linked to inclusive, successful teams. Throughout the course, you will meet people like yourself, who want to be the best leaders they possibly can by incorporating inclusive leadership into their everyday lives. With short quizzes and compelling case studies, you will refine your skills each section. Most importantly, you will apply your new leadership skills through exciting real-life exercises. At the end of the course, you will create a Personal Leadership Plan that will help you continue to develop your skills, knowledge, and awareness in your quest to become a successful, inclusive leader.",49.00,216489,4,0
245,Conducting an Informational Interview  ,UWashingtonX,Language,"In this final course of the English for Business Networking Professional Certificate program, you’ll put your knowledge into practice by preparing for and conducting an informational interview. ",99.00,15816,8,0
246,"Nutrition, Heart Disease and Diabetes  ",WageningenX,Food & Nutrition,"Learn about the role of nutrition in relation to diseases of the circulatory system and diabetes, which are major causes of death worldwide. You'll learn about the etiology of heart attacks, type 2 diabetes, stroke, other forms of cardiovascular diseases and how often these occur worldwide. You will learn about biological modifiable risk factors, such as blood pressure, blood cholesterol and obesity, and how they impact these diseases in a different way.After completing this course you will also have gained adeeper insight in underlying pathophysiological mechanisms, such as insulin resistance, and the role of (epi)genetic factors. ",99.00,25893,5,1
247,Introducción a R  ,AnahuacX,Data Analysis & Statistics,"La ciencia de datos es un área que hoy ofrece herramientas analíticas muy poderosas a las organizaciones; aquellas que han incorporado estas prácticas rápidamente han podido obtener ventajas competitivas y tomar mejores decisiones con la información que obtienen. Ante las características actuales de sociedades generadoras de millones de datos, dominar adecuadamente el análisis de datos es una necesidad para cualquier organización.",49.00,6962,4,0
248,How to Code: Simple Data  ,UBCx,Computer Science,"This programming course takes a unique approach, as it focuses on learning a systematic programming method rather than a programming language. This practical approach will help you channel your creativity so that you can program well in any language.  ",125.00,99373,7,0
249,"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy  ",HarvardX,Social Sciences,"How do the three branches of government operate? How is power shared among Congress, the president, and the Supreme Court? What role is played by federal agencies that have no direct constitutional authority oftheir own? ",99.00,23891,4,0
250,Electric Cars: Technology  ,DelftX,Engineering,"Electric cars are more than a novel means of mobility. They have been recognized as an essential building block of the energy transition. Fulfilling their promise will imply a significant change in the technical, digital and social dimensions of transport and energy infrastructure. If you are interested in learning about the state-of-the-art technology behind electric cars, then this is the course for you! ",50.00,41762,4,1
251,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching  ,HarvardX,Education & Teacher Training,"Educators have an ever-increasing stream of data at their fingertips, but knowing how to use this data to improve learning and teaching — how to make it less overwhelming, more useful, and part of an effective collaborative process — can be challenging.",139.00,118190,10,1
252,Mechatronics Revolution: Fundamentals and Core Concepts  ,GTx,Engineering,"The Mechatronics Revolution is upon us. Never before has it been easier to build robotic devices and computer-controlled machines. The confluence of low-cost embedded computers, sensors, and actuators has made experimentation and prototyping easier than ever. Course modules will explore the mechatronics design process, fundamentals of microcontrollers, embedded systems programming, actuator control, and sensor interfacing. Through several hands-on labs, students will solidify their knowledge of core mechatronics concepts and gain real-world experience building their own mechatronic systems. Upon successful completion of the course, students will be equipped with the fundamental knowledge they need to harness the Mechatronics Revolution. ",149.00,12362,16,0
253,Lean Production  ,TUMx,Business & Management,"Learn about Lean Management, a customer-centric methodology that improves processes by eliminating waste and focusing on value-added tasks.",99.00,56899,6,0
254,Mindfulness and Resilience to Stress at Work  ,BerkeleyX,Business & Management,"Stress, anxiety, and burnout are rampant across workplaces today: 80 percent of workers feel stress on the job, and nearly half say they need help learning how to manage it. While many organizations may assume that intense stress is unavoidable, even admirable, research suggests that too much stress is toxic to our health and performance, leading to burnout and harming the culture of organizations as a whole.",199.00,34342,4,0
255,European Paintings: From Leonardo to Rembrandt to Goya  ,UC3Mx,Humanities,"Learn about the inspirational work of the leading European painters from approximately 1400 to 1800, and explore the issues expressed through the art of painting. Included in this broad time frame are the works of Leonardo da Vinci, Caravaggio, Velázquez, Rembrandt, Vermeer and Goya.",99.00,61966,7,0
256,Negotiation Skills and Effective Communication  ,TecdeMonterreyX,Business & Management,"We start making negotiations as soon as our day begins, through all our interactions, either work, social, or family-related. But have you ever wondered how efficiently you negotiate, and whether you could be better at it? This is a straightforward opportunity to put into practice all the knowledge you have acquired, and to confirm that the negotiation process is dynamic and can always be improved.",149.00,8513,4,1
257,Product Management Fundamentals  ,UMD,Business & Management,"Product management is one of the fastest growing and most lucrative jobs available today. Companies have awoken to the desperate need for product managers to create products that customers love, that integrate design, functionality, and business solutions. In our course, we define the fundamentals of product management and why this role is so coveted as a launch pad for future CEOs and startup founders.",199.00,12885,4,0
258,MalariaX: Defeating Malaria from the Genes to the Globe  ,HarvardX,Biology & Life Sciences,"How can we eradicate malaria? Explore the scientific and technological underpinnings of malaria, as well as the historical, political, social, and economic contexts in which control, elimination, and eradication efforts unfold.",99.00,38309,8,1
259,Basics of Computing and Programming  ,NYUx,Computer Science,This is a self-paced course that provides an Introduction to Computing and Programming. ,200.00,37755,9,0
260,El arte de vender: introducción a las ventas  ,JaverianaX,Economics & Finance,"La venta se presenta en todas las actividades humanas por lo que hay que conocerla para lograr su máximo desempeño y llevar a las organizaciones al logro de las metas. Pero es necesario conocer sus variables más importantes para hacerla más profesional, facilitándole a los clientes a comprar los productos o servicios que se le ofrecen. ",49.90,26135,4,0
261,Computing in Python II: Control Structures  ,GTx,Computer Science,"Building on your prior knowledge of variables and operators, this course gets into the meat of programming. Organized into five chapters, this course starts by covering the fundamentals of what control structures are and what they do, then moves on to four common control structures in Python. Conditionals let you modify what your program does based on the values of incoming variables. Loops let you repeat tasks for multiple values or while certain conditions hold true. Functions let you encapsulate complex reasoning into reusable chunks of code. Error handling lets you intelligently recover from anticipated and unanticipated glitches. ",99.00,32373,5,0
262,Introduction to Internet of Things (IoT)  ,Rolls-Royce,Data Analysis & Statistics,"In under an hour you will learn what IoT is and how it works, what it could mean for your everyday role and examples of how we are using IoT in Rolls-Royce to deliver operational efficiencies and improve the services that we offer to our customers.",49.00,6972,2,0
263,Preparing to Network in English  ,UWashingtonX,Language,"Networking in the business world is key to career success. Research shows that many jobs are never officially advertised. Many companies rely on word-of-mouth advertising to hire employees, so connections with people are important! ",149.00,35450,6,0
264,Inteligencia emocional para el liderazgo efectivo y colaboración  ,AnahuacX,Social Sciences,"El liderazgo emocional para la construcción de un efectivo equipo de trabajo es un conjunto de habilidades profesionales y personales, así como cualidades y actitudes que permiten desempeñar un rol orientado a resultados positivos para mejorar la calidad de vida personal y laboral; que favorece el cumplimiento de las metas y objetivos quecada persona define. ",49.00,15477,4,0
265,Blockchain Technology  ,BerkeleyX,Computer Science,Receive an instructor-signed certificate with the institution's logo to verify your achievement and increase your job prospects,99.00,56373,6,1
266,Deep Learning with Python and PyTorch  ,IBM,Data Analysis & Statistics,"NOTE: In order to be successful in completing this course, please ensure you are familiar with PyTorch Basics and have practical knowledge to apply it to Machine Learning. If you do not have this pre-requiste knowledge, it is highly recommended you complete the PyTorch Basics for Machine Learning course prior to starting this course.",99.00,36762,6,1
267,Macroeconometric Forecasting  ,IMFx,Economics & Finance,"In this macroeconomics course, you will learn to predict macroeconomic variables such as inflation, growth or consumption, and to create statistical models in economics and use them to predict responses to economic policy.",25.00,70204,9,1
